generic,disease,age_group,dose_range,route,support
amikacin,Bacteremia,adult,10-15 mg,IM,2
amikacin,Bacteremia,child,10-15 mg,IM,2
amikacin,Bacteremia,elderly,10-15 mg,IM,4
amikacin,Bacterial Infection,adult,10-15 mg,IM,2
amikacin,Bacterial Infection,child,unknown,IM,10
amikacin,Bone and Joint Infection,adult,10-15 mg,IM,2
amikacin,Bone and Joint Infection,child,10-15 mg,IM,2
amikacin,Bone and Joint Infection,elderly,10-15 mg,IM,4
amikacin,Intraabdominal Infection,adult,10-15 mg,IM,2
amikacin,Intraabdominal Infection,child,10-15 mg,IM,2
amikacin,Intraabdominal Infection,elderly,10-15 mg,IM,4
amikacin,Meningitis,adult,10-15 mg,IM,2
amikacin,Meningitis,child,10-15 mg,IM,2
amikacin,Mycobacterium avium-intracellulare - Treatment,adult,10-15 mg,IM,2
amikacin,Mycobacterium avium-intracellulare - Treatment,child,10-15 mg,IV,1
amikacin,Osteomyelitis,adult,10-15 mg,IM,2
amikacin,Osteomyelitis,child,10-15 mg,IM,2
amikacin,Osteomyelitis,elderly,10-15 mg,IM,4
amikacin,Peritonitis,adult,10-15 mg,IM,2
amikacin,Peritonitis,child,10-15 mg,IM,2
amikacin,Pneumonia,adult,10-15 mg,IM,2
amikacin,Pneumonia,child,10-15 mg,IM,2
amikacin,Pneumonia,elderly,10-15 mg,IM,4
amikacin,Skin or Soft Tissue Infection,adult,10-15 mg,IM,2
amikacin,Skin or Soft Tissue Infection,child,10-15 mg,IM,2
amikacin,Skin or Soft Tissue Infection,elderly,10-15 mg,IM,4
amikacin,Tuberculosis - Active,adult,10-15 mg,IM,2
amikacin,Tuberculosis - Active,child,10-15 mg,IM,2
amikacin,Tuberculosis - Active,elderly,10-15 mg,IM,4
amikacin,Urinary Tract Infection,adult,10-15 mg,IM,2
amikacin,Urinary Tract Infection,child,10-15 mg,IM,2
ampicillin,Bacterial Endocarditis Prophylaxis,child,50-100 mg,IM,2
ampicillin,Bacterial Endocarditis Prophylaxis,elderly,unknown,IM,2
ampicillin,Bacterial Infection,child,50-200 mg,IM,7
ampicillin,Bronchitis,child,unknown,IM,6
ampicillin,Bronchitis,elderly,unknown,PO,4
ampicillin,Cutaneous Bacillus anthracis,child,200-400 mg,IM,6
ampicillin,Cutaneous Bacillus anthracis,elderly,unknown,IV,1
ampicillin,Endocarditis,child,300-400 mg,IM,4
ampicillin,Gastroenteritis,child,unknown,IM,6
ampicillin,Gastroenteritis,elderly,unknown,IM,3
ampicillin,Gonococcal Infection - Uncomplicated,elderly,unknown,IM,3
ampicillin,Inhalation Bacillus anthracis,child,200-400 mg,IM,6
ampicillin,Inhalation Bacillus anthracis,elderly,unknown,IV,1
ampicillin,Intraabdominal Infection,child,unknown,IM,6
ampicillin,Intraabdominal Infection,elderly,unknown,IM,3
ampicillin,Meningitis,child,150-400 mg,IM,6
ampicillin,Meningitis,elderly,150-200 mg,IM,2
ampicillin,Meningitis - Streptococcus Group B,child,300-370 mg,IM,6
ampicillin,Meningitis - Streptococcus Group B,elderly,unknown,IV,1
ampicillin,Pharyngitis,child,unknown,IM,6
ampicillin,Pharyngitis,elderly,unknown,IM,3
ampicillin,Pneumonia,child,unknown,IM,6
ampicillin,Pneumonia,elderly,unknown,IM,3
ampicillin,Septicemia,child,150-200 mg,IM,6
ampicillin,Septicemia,elderly,150-200 mg,IV,1
ampicillin,Shigellosis,child,unknown,IM,6
ampicillin,Shigellosis,elderly,unknown,IM,3
ampicillin,Sinusitis,child,unknown,IM,6
ampicillin,Sinusitis,elderly,unknown,IM,3
ampicillin,Skin or Soft Tissue Infection,child,50-62 mg,IM,4
ampicillin,Skin or Soft Tissue Infection,elderly,unknown,IM,2
ampicillin,Surgical Prophylaxis,child,50-100 mg,IM,2
ampicillin,Surgical Prophylaxis,elderly,unknown,IV,1
ampicillin,Typhoid Fever,child,unknown,IM,6
ampicillin,Typhoid Fever,elderly,unknown,IM,3
ampicillin,Upper Respiratory Tract Infection,child,unknown,IM,6
ampicillin,Upper Respiratory Tract Infection,elderly,unknown,IM,3
ampicillin,Urinary Tract Infection,child,unknown,IM,6
ampicillin,Urinary Tract Infection,elderly,unknown,IM,3
aztreonam,Bacteremia,elderly,unknown,IV,1
aztreonam,Bacterial Infection,adult,90-120 mg,IV,1
aztreonam,Bacterial Infection,child,90-120 mg,IV,5
aztreonam,Bacterial Infection,elderly,unknown,IV,1
aztreonam,Febrile Neutropenia,elderly,unknown,IV,1
aztreonam,Intraabdominal Infection,adult,90-120 mg,IV,1
aztreonam,Intraabdominal Infection,child,90-120 mg,IV,5
aztreonam,Intraabdominal Infection,elderly,unknown,IV,1
aztreonam,Osteomyelitis,elderly,unknown,IV,1
aztreonam,Pelvic Inflammatory Disease,elderly,unknown,IV,1
aztreonam,Peritonitis,elderly,unknown,IV,1
aztreonam,Pneumonia,adult,90-120 mg,IV,1
aztreonam,Pneumonia,child,90-120 mg,IV,5
aztreonam,Pneumonia,elderly,unknown,IV,1
aztreonam,Pyelonephritis,elderly,unknown,IV,1
aztreonam,Skin and Structure Infection,adult,90-120 mg,IV,1
aztreonam,Skin and Structure Infection,child,90-120 mg,IV,5
aztreonam,Skin or Soft Tissue Infection,elderly,unknown,IV,1
aztreonam,Urinary Tract Infection,adult,90-120 mg,IV,1
aztreonam,Urinary Tract Infection,child,90-120 mg,IV,5
aztreonam,Urinary Tract Infection,elderly,unknown,IV,1
cefazolin,Bacterial Endocarditis Prophylaxis,child,50-100 mg,IM,2
cefazolin,Bacterial Endocarditis Prophylaxis,elderly,unknown,IM,2
cefazolin,Bacterial Infection,child,25-150 mg,IM,6
cefazolin,Bacterial Infection (Mild Infections),elderly,unknown,IM,4
cefazolin,Bacterial Infection (Moderate Infections),elderly,unknown,IM,4
cefazolin,"Bacterial Infection (Severe, life-threatening)",elderly,unknown,IM,4
cefazolin,Bone and Joint Infection,child,25-150 mg,IM,6
cefazolin,Bone and Joint Infection (Mild Infections),elderly,unknown,IM,4
cefazolin,Bone and Joint Infection (Moderate Infections),elderly,unknown,IM,4
cefazolin,"Bone and Joint Infection (Severe, life-threatening)",elderly,unknown,IM,4
cefazolin,Cholecystitis,child,25-150 mg,IM,6
cefazolin,Cholecystitis (Mild infections),elderly,unknown,IM,4
cefazolin,Cholecystitis (Moderate infections),elderly,unknown,IM,4
cefazolin,"Cholecystitis (Severe, life-threatening infections)",elderly,unknown,IM,4
cefazolin,Endocarditis,child,100-133 mg,IM,2
cefazolin,Endocarditis,elderly,unknown,IM,2
cefazolin,Epididymitis - Non-Specific,child,25-150 mg,IM,6
cefazolin,Epididymitis - Non-Specific (Mild Infections),elderly,unknown,IM,4
cefazolin,Epididymitis - Non-Specific (Moderate Infections),elderly,unknown,IM,4
cefazolin,"Epididymitis - Non-Specific (Severe, life-threatening)",elderly,unknown,IM,4
cefazolin,Meningitis - Streptococcus Group B,elderly,unknown,IM,2
cefazolin,Osteomyelitis,child,25-150 mg,IM,6
cefazolin,Osteomyelitis (Mild Infections),elderly,unknown,IM,4
cefazolin,Osteomyelitis (Moderate Infections),elderly,unknown,IM,4
cefazolin,"Osteomyelitis (Severe, life-threatening)",elderly,unknown,IM,4
cefazolin,Peritonitis,child,25-50 mg,IM,2
cefazolin,Pneumonia,child,25-150 mg,IM,6
cefazolin,Pneumonia,elderly,unknown,IM,2
cefazolin,Prostatitis,child,25-150 mg,IM,6
cefazolin,Prostatitis (Mild Infections),elderly,unknown,IM,4
cefazolin,Prostatitis (Moderate Infections),elderly,unknown,IM,4
cefazolin,"Prostatitis (Severe, life-threatening)",elderly,unknown,IM,4
cefazolin,Septicemia,child,100-125 mg,IM,2
cefazolin,Septicemia (Mild Infections),elderly,unknown,IM,4
cefazolin,Septicemia (Moderate Infections),elderly,unknown,IM,4
cefazolin,"Septicemia (Severe, life-threatening)",elderly,unknown,IM,4
cefazolin,Skin and Structure Infection,child,25-150 mg,IM,6
cefazolin,Skin and Structure Infection (Mild Infections),elderly,unknown,IM,4
cefazolin,Skin and Structure Infection (Moderate Infections),elderly,unknown,IM,4
cefazolin,"Skin and Structure Infection (Severe, life-threatening)",elderly,unknown,IM,4
cefazolin,Skin or Soft Tissue Infection,child,25-150 mg,IM,6
cefazolin,Skin or Soft Tissue Infection (Mild Infections),elderly,unknown,IM,4
cefazolin,Skin or Soft Tissue Infection (Moderate Infections),elderly,unknown,IM,4
cefazolin,"Skin or Soft Tissue Infection (Severe, life-threatening)",elderly,unknown,IM,4
cefazolin,Surgical Prophylaxis,child,30-60 mg,IM,2
cefazolin,Surgical Prophylaxis,elderly,unknown,IM,2
cefazolin,Urinary Tract Infection,child,25-150 mg,IM,6
cefazolin,Urinary Tract Infection,elderly,unknown,IM,2
cefepime,Bacteremia,child,100-150 mg,IV,3
cefepime,Bacteremia,elderly,unknown,IV,1
cefepime,Bacterial Infection,child,100-150 mg,IV,3
cefepime,Bone and Joint Infection,elderly,unknown,IV,1
cefepime,Endocarditis,child,100-150 mg,IV,2
cefepime,Endocarditis,elderly,unknown,IV,1
cefepime,Febrile Neutropenia,child,100-150 mg,IV,3
cefepime,Febrile Neutropenia,elderly,unknown,IV,1
cefepime,Intraabdominal Infection,child,100-150 mg,IV,1
cefepime,Intraabdominal Infection,elderly,unknown,IV,1
cefepime,Meningitis,child,100-150 mg,IV,2
cefepime,Meningitis,elderly,unknown,IV,1
cefepime,Meningitis - Haemophilus influenzae,child,100-150 mg,IV,2
cefepime,Meningitis - Haemophilus influenzae,elderly,unknown,IV,1
cefepime,Meningitis - Listeriosis,child,100-150 mg,IV,2
cefepime,Meningitis - Listeriosis,elderly,unknown,IV,1
cefepime,Meningitis - Meningococcal,child,100-150 mg,IV,2
cefepime,Meningitis - Meningococcal,elderly,unknown,IV,1
cefepime,Meningitis - Pneumococcal,child,100-150 mg,IV,2
cefepime,Meningitis - Pneumococcal,elderly,unknown,IV,1
cefepime,Meningitis - Streptococcus Group B,child,100-150 mg,IV,2
cefepime,Meningitis - Streptococcus Group B,elderly,unknown,IV,1
cefepime,Nosocomial Pneumonia,elderly,unknown,IV,1
cefepime,Osteomyelitis,elderly,unknown,IV,1
cefepime,Peritonitis,child,15-30 mg,IV,2
cefepime,Peritonitis,elderly,unknown,IV,1
cefepime,Pneumonia,adult,100-150 mg,IV,1
cefepime,Pneumonia,elderly,unknown,IV,1
cefepime,Pyelonephritis,adult,unknown,IV,2
cefepime,Skin and Structure Infection,adult,100-150 mg,IV,1
cefepime,Skin and Structure Infection,elderly,unknown,IV,1
cefepime,Urinary Tract Infection,adult,unknown,IV,2
cefotaxime,Bacteremia,child,50-180 mg,IM,6
cefotaxime,Bacteremia,elderly,unknown,IM,2
cefotaxime,Bone and Joint Infection,child,50-180 mg,IM,6
cefotaxime,Bone and Joint Infection,elderly,unknown,IM,2
cefotaxime,CNS Infection,child,50-180 mg,IM,6
cefotaxime,CNS Infection,elderly,unknown,IM,2
cefotaxime,Cesarean Section,elderly,unknown,IM,2
cefotaxime,Endometritis,elderly,unknown,IM,2
cefotaxime,Gonococcal Infection - Disseminated,child,50-75 mg,IM,2
cefotaxime,Gonococcal Infection - Disseminated,elderly,unknown,IM,2
cefotaxime,Gonococcal Infection - Uncomplicated,elderly,unknown,IM,2
cefotaxime,Intraabdominal Infection,child,50-180 mg,IM,6
cefotaxime,Intraabdominal Infection,elderly,unknown,IM,2
cefotaxime,Lyme Disease - Neurologic,child,150-200 mg,IM,2
cefotaxime,Lyme Disease - Neurologic,elderly,unknown,IM,2
cefotaxime,Meningitis,child,50-180 mg,IM,6
cefotaxime,Meningitis,elderly,unknown,IM,2
cefotaxime,Osteomyelitis,child,50-180 mg,IM,6
cefotaxime,Osteomyelitis,elderly,unknown,IM,2
cefotaxime,Pelvic Inflammatory Disease,elderly,unknown,IM,2
cefotaxime,Peritonitis,child,50-180 mg,IM,6
cefotaxime,Peritonitis,elderly,unknown,IM,2
cefotaxime,Pneumonia,child,50-180 mg,IM,6
cefotaxime,Pneumonia,elderly,unknown,IM,2
cefotaxime,Rhinitis,child,50-180 mg,IM,2
cefotaxime,Rhinitis,elderly,unknown,IM,2
cefotaxime,Sepsis,child,50-180 mg,IM,6
cefotaxime,Sepsis,elderly,unknown,IM,2
cefotaxime,Septicemia,child,50-180 mg,IM,6
cefotaxime,Septicemia,elderly,unknown,IM,2
cefotaxime,Sinusitis,child,100-200 mg,IM,2
cefotaxime,Sinusitis,elderly,unknown,IM,2
cefotaxime,Skin or Soft Tissue Infection,child,50-180 mg,IM,6
cefotaxime,Skin or Soft Tissue Infection,elderly,unknown,IM,2
cefotaxime,Surgical Prophylaxis,child,50-100 mg,IM,2
cefotaxime,Surgical Prophylaxis,elderly,unknown,IM,2
cefotaxime,Urinary Tract Infection,child,50-180 mg,IM,6
cefotaxime,Urinary Tract Infection,elderly,unknown,IM,2
cefoxitin,Aspiration Pneumonia,elderly,unknown,IV,1
cefoxitin,Bacterial Infection,child,80-160 mg,IV,1
cefoxitin,Bacterial Infection,elderly,unknown,IV,1
cefoxitin,Bone and Joint Infection,child,80-160 mg,IV,1
cefoxitin,Bone and Joint Infection,elderly,unknown,IV,1
cefoxitin,Cesarean Section,child,80-160 mg,IV,1
cefoxitin,Cesarean Section,elderly,unknown,IV,1
cefoxitin,Endometritis,child,80-160 mg,IV,1
cefoxitin,Endometritis,elderly,unknown,IV,1
cefoxitin,Gonococcal Infection - Uncomplicated,child,80-160 mg,IV,1
cefoxitin,Gonococcal Infection - Uncomplicated,elderly,unknown,IV,1
cefoxitin,Intraabdominal Infection,child,80-160 mg,IV,1
cefoxitin,Intraabdominal Infection,elderly,unknown,IV,1
cefoxitin,Osteomyelitis,child,80-160 mg,IV,1
cefoxitin,Osteomyelitis,elderly,unknown,IV,1
cefoxitin,Pelvic Inflammatory Disease,child,80-160 mg,IV,1
cefoxitin,Pelvic Inflammatory Disease,elderly,unknown,IV,1
cefoxitin,Peritonitis,child,80-160 mg,IV,1
cefoxitin,Peritonitis,elderly,unknown,IV,1
cefoxitin,Pneumonia,child,80-160 mg,IV,1
cefoxitin,Pneumonia,elderly,unknown,IV,1
cefoxitin,Septicemia,child,80-160 mg,IV,1
cefoxitin,Septicemia,elderly,unknown,IV,1
cefoxitin,Skin and Structure Infection,child,80-160 mg,IV,1
cefoxitin,Skin and Structure Infection,elderly,unknown,IV,1
cefoxitin,Surgical Prophylaxis,child,80-160 mg,IV,1
cefoxitin,Surgical Prophylaxis,elderly,unknown,IV,1
cefoxitin,Urinary Tract Infection,child,80-160 mg,IV,1
cefoxitin,Urinary Tract Infection,elderly,unknown,IV,1
cefpodoxime,Cystitis,elderly,unknown,PO,1
cefpodoxime,Gonococcal Infection - Disseminated,elderly,unknown,PO,1
cefpodoxime,Gonococcal Infection - Uncomplicated,elderly,unknown,PO,1
cefpodoxime,Otitis Media,child,10-15 mg,PO,1
cefpodoxime,Pneumonia,elderly,unknown,PO,1
cefpodoxime,Pyelonephritis,elderly,unknown,PO,1
cefpodoxime,Sinusitis,child,10-15 mg,PO,1
cefpodoxime,Sinusitis,elderly,unknown,PO,1
cefpodoxime,Skin or Soft Tissue Infection,elderly,unknown,PO,1
cefpodoxime,Tonsillitis/Pharyngitis,child,10-15 mg,PO,1
cefpodoxime,Tonsillitis/Pharyngitis,elderly,unknown,PO,1
cefpodoxime,Upper Respiratory Tract Infection,elderly,unknown,PO,1
ceftazidime,Bacteremia,child,90-200 mg,IV,2
ceftazidime,Bacteremia,elderly,unknown,IV,1
ceftazidime,Bacterial Infection,child,90-200 mg,IV,2
ceftazidime,Bone and Joint Infection,child,90-200 mg,IV,2
ceftazidime,Bone and Joint Infection,elderly,unknown,IV,1
ceftazidime,Cystitis,child,90-200 mg,IV,2
ceftazidime,Cystitis,elderly,unknown,IV,1
ceftazidime,Endocarditis,child,90-200 mg,IV,2
ceftazidime,Endocarditis,elderly,unknown,IV,1
ceftazidime,Endometriosis,elderly,unknown,IV,1
ceftazidime,Endometritis,elderly,unknown,IV,1
ceftazidime,Febrile Neutropenia,elderly,unknown,IV,1
ceftazidime,Intraabdominal Infection,child,90-200 mg,IV,2
ceftazidime,Intraabdominal Infection,elderly,unknown,IV,1
ceftazidime,Meningitis,child,90-200 mg,IV,2
ceftazidime,Meningitis,elderly,unknown,IV,1
ceftazidime,Nosocomial Pneumonia,child,90-200 mg,IV,2
ceftazidime,Nosocomial Pneumonia,elderly,unknown,IV,1
ceftazidime,Osteomyelitis,child,90-200 mg,IV,2
ceftazidime,Osteomyelitis,elderly,unknown,IV,1
ceftazidime,Pelvic Infections,elderly,unknown,IV,1
ceftazidime,Pelvic Inflammatory Disease,elderly,unknown,IV,1
ceftazidime,Peritonitis,child,90-200 mg,IV,2
ceftazidime,Peritonitis,elderly,unknown,IV,1
ceftazidime,Pneumonia,child,90-200 mg,IV,2
ceftazidime,Pneumonia,elderly,unknown,IV,1
ceftazidime,Pneumonia with Cystic Fibrosis,child,90-200 mg,IV,2
ceftazidime,Pneumonia with Cystic Fibrosis,elderly,unknown,IV,1
ceftazidime,Pyelonephritis,child,90-200 mg,IV,2
ceftazidime,Sepsis,elderly,unknown,IV,1
ceftazidime,Septicemia,child,90-200 mg,IV,2
ceftazidime,Skin and Structure Infection,child,90-200 mg,IV,2
ceftazidime,Skin or Soft Tissue Infection,elderly,unknown,IV,1
ceftazidime,Urinary Tract Infection,child,90-200 mg,IV,2
ceftazidime,Urinary Tract Infection,elderly,unknown,IV,1
ceftriaxone,Bacteremia,child,50-100 mg,IM,4
ceftriaxone,Bacteremia,elderly,unknown,IM,2
ceftriaxone,Bacterial Endocarditis Prophylaxis,child,50-100 mg,IM,2
ceftriaxone,Bacterial Endocarditis Prophylaxis,elderly,unknown,IM,2
ceftriaxone,Bacterial Infection,child,50-100 mg,IM,4
ceftriaxone,Bacterial Infection,elderly,unknown,IM,2
ceftriaxone,Bone and Joint Infection,child,50-100 mg,IM,4
ceftriaxone,Bone and Joint Infection,elderly,unknown,IM,2
ceftriaxone,Bronchitis,child,50-75 mg,IM,2
ceftriaxone,Bronchitis,elderly,unknown,IM,2
ceftriaxone,Chancroid,child,50-100 mg,IM,2
ceftriaxone,Chancroid,elderly,unknown,IM,1
ceftriaxone,Conjunctivitis,elderly,unknown,IM,1
ceftriaxone,Endocarditis,child,80-100 mg,IM,2
ceftriaxone,Endocarditis,elderly,unknown,IM,2
ceftriaxone,Gonococcal Infection - Disseminated,child,50-75 mg,IM,4
ceftriaxone,Gonococcal Infection - Disseminated,elderly,unknown,IM,2
ceftriaxone,Gonococcal Infection - Uncomplicated,child,25-50 mg,IV,3
ceftriaxone,Gonococcal Infection - Uncomplicated,elderly,unknown,IM,1
ceftriaxone,Intraabdominal Infection,child,50-75 mg,IM,2
ceftriaxone,Intraabdominal Infection,elderly,unknown,IM,2
ceftriaxone,Lyme Disease,child,50-75 mg,IM,2
ceftriaxone,Lyme Disease - Arthritis,elderly,unknown,IV,1
ceftriaxone,Lyme Disease - Carditis,elderly,unknown,IV,1
ceftriaxone,Lyme Disease - Neurologic,elderly,unknown,IV,1
ceftriaxone,Meningitis,child,100-150 mg,IM,4
ceftriaxone,Meningitis,elderly,unknown,IM,2
ceftriaxone,Meningococcal Meningitis Prophylaxis,adult,unknown,IM,1
ceftriaxone,Meningococcal Meningitis Prophylaxis,elderly,unknown,IM,1
ceftriaxone,Neurosyphilis,elderly,unknown,IM,2
ceftriaxone,Ocular Infection,child,25-50 mg,IM,2
ceftriaxone,Osteomyelitis,child,50-100 mg,IM,4
ceftriaxone,Osteomyelitis,elderly,unknown,IM,2
ceftriaxone,Otitis Media,child,50-100 mg,IM,2
ceftriaxone,Pelvic Inflammatory Disease,elderly,unknown,IM,2
ceftriaxone,Pneumonia,child,50-75 mg,IM,2
ceftriaxone,Pneumonia,elderly,unknown,IM,2
ceftriaxone,Proctitis,elderly,unknown,IM,1
ceftriaxone,STD Prophylaxis,elderly,unknown,IM,1
ceftriaxone,Salmonella Enteric Fever,elderly,unknown,IV,1
ceftriaxone,Salmonella Gastroenteritis,elderly,unknown,IV,1
ceftriaxone,Septicemia,child,50-100 mg,IM,4
ceftriaxone,Septicemia,elderly,unknown,IM,2
ceftriaxone,Skin and Structure Infection,child,50-75 mg,IM,2
ceftriaxone,Skin and Structure Infection,elderly,unknown,IM,2
ceftriaxone,Skin or Soft Tissue Infection,elderly,unknown,IM,2
ceftriaxone,Surgical Prophylaxis,child,50-75 mg,IV,1
ceftriaxone,Surgical Prophylaxis,elderly,unknown,IV,1
ceftriaxone,Syphilis - Early,elderly,unknown,IM,2
ceftriaxone,Urinary Tract Infection,child,50-100 mg,IM,2
ceftriaxone,Urinary Tract Infection,elderly,unknown,IM,2
cefuroxime,Appendicitis,elderly,unknown,IV,1
cefuroxime,Bacterial Infection,child,50-150 mg,IM,5
cefuroxime,Bacterial Infection,elderly,unknown,IM,3
cefuroxime,Bone and Joint Infection,child,150-200 mg,IM,2
cefuroxime,Bone and Joint Infection,elderly,unknown,IM,2
cefuroxime,Bronchitis,child,50-100 mg,IM,2
cefuroxime,Bronchitis,elderly,unknown,IM,3
cefuroxime,Cholecystitis,elderly,unknown,IV,1
cefuroxime,Gonococcal Infection - Disseminated,elderly,unknown,IM,2
cefuroxime,Gonococcal Infection - Uncomplicated,elderly,unknown,IM,2
cefuroxime,Impetigo,child,30-45 mg,PO,1
cefuroxime,Intraabdominal Infection,child,150-200 mg,IV,1
cefuroxime,Intraabdominal Infection,elderly,unknown,IV,1
cefuroxime,Lyme Disease,elderly,unknown,PO,1
cefuroxime,Meningitis,child,200-240 mg,IM,2
cefuroxime,Meningitis,elderly,unknown,IV,1
cefuroxime,Osteomyelitis,child,150-200 mg,IM,2
cefuroxime,Osteomyelitis,elderly,unknown,IM,2
cefuroxime,Otitis Media,child,30-45 mg,PO,1
cefuroxime,Pneumonia,child,50-100 mg,IM,2
cefuroxime,Pneumonia,elderly,unknown,IM,3
cefuroxime,Septicemia,child,50-100 mg,IM,2
cefuroxime,Septicemia,elderly,unknown,IV,3
cefuroxime,Sinusitis,child,30-45 mg,PO,1
cefuroxime,Sinusitis,elderly,unknown,PO,1
cefuroxime,Skin and Structure Infection,child,50-100 mg,IM,2
cefuroxime,Skin and Structure Infection,elderly,unknown,IM,3
cefuroxime,Skin or Soft Tissue Infection,elderly,unknown,IM,3
cefuroxime,Surgical Prophylaxis,elderly,unknown,IM,2
cefuroxime,Tonsillitis/Pharyngitis,child,20-30 mg,PO,1
cefuroxime,Tonsillitis/Pharyngitis,elderly,unknown,PO,1
cefuroxime,Urinary Tract Infection,child,50-100 mg,IM,2
cefuroxime,Urinary Tract Infection,elderly,unknown,IM,3
cefuroxime,Wound Infection,elderly,unknown,IV,2
chloramphenicol,Bacteremia,child,50-100 mg,IV,2
chloramphenicol,Bacteremia,elderly,50-100 mg,IV,1
chloramphenicol,Bacterial Infection,child,50-100 mg,IV,2
chloramphenicol,Bacterial Infection,elderly,50-100 mg,IV,1
